plot	X	Y	Mitigada2	Mitigada3	Mitigada4	Water2	Water3	Water4
251883	344938	4660785	62.11	60.94	84.59	0.1171	0.1426	0.0998
251885	320895	4659760	57.69	83.55	89.17	0.4923	0.2005	0.0131
251890	345909	4659817	83.63	92.12	116.95	0.1292	0.1068	0.0692
251892	321862	4658822	124.27	193.54	194.97	0.3079	0.0832	0.0037
251893	322830	4658797	132.73	144.14	125.11	0.0245	0.0432	0.0066
251896	336885	4658777	128.92	173.97	214.25	0.2024	0.0582	0.0515
251897	343920	4658783	63.81	53.4	96.1	0.1211	0.4163	0.1044
251899	345949	4658826	65.62	60.25	70.89	0.0085	0.0636	0.0315
251901	321780	4657806	266.5	255.44	258.14	0.0686	0.0631	0.0103
251903	323962	4657786	56.91	66.71	68.24	0.1439	0.0162	0.0032
251904	325954	4657802	177.73	122.35	154.47	0.0913	0.0537	0.0424
251910	340907	4657780	133.75	118.77	134.87	0.0066	0.1689	0.0587
251917	323887	4656715	222.64	195.62	243.46	0.2211	0.2253	0.0966
251918	324842	4656728	365.66	279.59	333.25	0.1186	0.0875	0.0888
251922	328794	4656538	133.72	134.78	148.21	0.081	0.0902	0.0089
251924	334918	4656791	83.65	116.4	114.37	0.1761	0.0669	0.2761
251925	335909	4656771	45.74	59.67	54.77	0.1372	0.1188	0.2553
251929	343917	4656806	12.13	10.4	13.41	0.0177	0.037	0.0462
251930	344913	4656794	46.05	51.82	80.35	0.38	0.4848	0.2014
251939	329826	4655878	288.92	316.33	294.51	0.0399	0.1131	0.0122
251940	330856	4655714	149.82	215.07	174.07	0.256	0.3403	0.3357
251944	336963	4655737	65.8	59.49	65.63	0.0201	0.1413	0.0959
251945	339027	4655699	33.1	33.42	37.9	0.0857	0.2073	0.1997
251947	341958	4655786	57.87	29.38	37.4	0.0398	0.5236	0.4416
251948	342936	4655811	104.04	95.3	112.11	0.1008	0.3045	0.1905
251949	343942	4655727	173.9	121.32	216.13	0.133	0.2704	0.1022
251950	344898	4655787	39.18	48.9	73.68	0.3402	0.2168	0.0359
251951	345909	4655775	135.7	167.18	194.68	0.2021	0.032	0.0223
251958	342888	4654813	152.16	137.51	163.43	0.0321	0.0692	0.0395
251964	334945	4653847	234.7	245.68	268.48	0.0912	0.3307	0.2843
251965	335900	4653823	79.42	117.63	142.08	0.249	0.2731	0.0942
251967	338865	4653824	144.03	158.97	206.71	0.1135	0.2135	0.04
251968	339893	4653845	70.54	85.12	119.6	0.3693	0.2726	0.1024
251978	334921	4652763	21.08	36.16	40.09	0.3214	0.1879	0.1059
251982	338897	4652777	109.52	154.57	149.22	0.1265	0.0495	0.0089
251983	339864	4652801	28.21	26.09	29.26	0.0062	0.0281	0.0073
251986	342957	4652808	57.89	48.04	55.92	0.0142	0.0259	0.024
251989	345947	4652751	54.33	79.68	86.76	0.3534	0.0675	0.0485
251990	331816	4651724	20.52	94.5	97.68	0.5908	0.1708	0.0488
251991	332901	4651667	47.17	88.54	101.83	0.3098	0.3242	0.0684
251995	336863	4651726	89.03	94.57	95.64	0.1283	0.223	0.1062
251999	340952	4651772	14.04	24.2	24.92	0.5103	0.2387	0.1777
252001	342947	4651785	59.4	59.29	72.41	0.0992	0.0492	0.01
252002	344863	4651748	44.56	33.59	48.55	0.0149	0.1689	0.0065
252005	349922	4669780	79.52	82.56	96.3	0.0753	0.1182	0.0591
252007	351926	4669785	224.24	262.44	322.86	0.3464	0.3961	0.3721
252010	346868	4668806	96.35	93.95	76.8	0.0513	0.2197	0.4089
252013	350917	4668773	121.98	159.34	187.32	0.3068	0.1753	0.0899
252017	355931	4668796	85.1	99.15	137.2	0.2965	0.3771	0.0792
252019	357920	4668807	132.21	113.16	165.02	0.256	0.4911	0.1464
252025	366941	4668795	102.41	101.76	156.75	0.2189	0.3472	0.0498
252030	372884	4668866	17.07	92.52	136.66	0.8771	0.7791	0.6783
252033	349909	4667842	81.47	74.95	84.45	0.4191	0.5037	0.5203
252034	350914	4667815	107.25	148.73	146.54	0.4081	0.2939	0.3895
252037	354905	4667814	93.22	83.18	90.37	0.2177	0.3527	0.3174
252039	356914	4667799	147.61	128.53	162.77	0.3538	0.3516	0.312
252040	357900	4667795	48.17	69.28	72.22	0.6309	0.4541	0.4825
252047	364926	4667833	53.8	138.36	239.27	0.7961	0.6804	0.5406
252052	346882	4666789	235.88	244.78	305.2	0.1933	0.4859	0.3207
252053	347877	4666800	231.43	157.09	200.1	0.0103	0.2832	0.0446
252054	348877	4666835	165.31	123.56	156.42	0.0497	0.195	0.0262
252056	350849	4666762	144.46	189.51	203.49	0.1855	0.0858	0.1659
252061	359903	4666775	224.12	189.11	288.31	0.5457	0.508	0.4146
252067	368906	4666796	170.64	271.5	495.01	0.6392	0.5724	0.1977
252068	369854	4666849	99.45	126.19	189.18	0.5004	0.4719	0.2323
252069	371912	4666832	205.75	156.19	336.85	0.6346	0.6546	0.2723
252070	372909	4666796	342.94	277.28	413.16	0.486	0.4547	0.1214
252071	347038	4665474	45.26	51	58.67	0.062	0.278	0.06
252074	349925	4665772	148.06	131.32	163.51	0.0916	0.1937	0.0324
252077	353697	4665944	4.24	9.4	11.73	0.7172	0.5814	0.4459
252078	354852	4665784	113.85	88.59	134.18	0.4137	0.4477	0.4363
252084	361926	4665738	123.51	147.89	161.65	0.3898	0.3468	0.2028
252085	366915	4665753	183.03	218.48	287.28	0.4005	0.303	0.0974
252087	368930	4665731	112.58	110.86	125.92	0.285	0.3205	0.2326
252089	370916	4665805	121.26	102.19	91.84	0.5618	0.3507	0.4736
252090	372841	4665752	168.47	127.83	212.89	0.6292	0.6337	0.3489
252092	346901	4664663	69.66	57.13	71.58	0.0408	0.1268	0.1159
252094	348830	4664780	98.1	122.8	124.63	0.2629	0.1005	0.0454
252097	354825	4664761	155.6	159.08	192.99	0.13	0.282	0.1671
252102	361880	4664833	148.49	179.41	211.35	0.5334	0.3987	0.3528
252103	362831	4664811	22.04	23.93	26.89	0.3133	0.2899	0.1904
252105	364912	4664837	143.77	169.61	134.57	0.2228	0.1854	0.3358
252107	366880	4664819	157.65	154.12	133.95	0.0237	0.0662	0.254
252111	372891	4664837	206.2	176.74	195.96	0.5504	0.3933	0.3301
252115	351866	4663802	120.4	131	151.45	0.3416	0.3746	0.293
252116	352796	4663838	70.58	52.01	76.78	0.0436	0.4288	0.0632
252118	354815	4663724	92.56	127.93	148.96	0.343	0.3499	0.296
252124	363866	4663848	78.52	80.86	83.1	0.1989	0.1699	0.149
252125	365899	4663837	79.59	109.98	172.84	0.658	0.5839	0.3787
252130	372883	4663814	142.53	109.9	116.55	0.3348	0.2496	0.2089
252135	349854	4662791	233.56	236.16	254.36	0.0529	0.0211	0.0226
252138	353769	4662820	112.4	146.5	205.89	0.4708	0.3397	0.2809
252142	361900	4662859	67.28	76.87	83.28	0.393	0.0513	0.1983
252144	363930	4662833	119.66	112.44	152.95	0.3517	0.1864	0.2228
252149	368956	4662818	105.54	162.49	177.48	0.5646	0.4882	0.2744
252152	372913	4662831	213.41	202.16	204.65	0.5662	0.3374	0.3694
252155	348851	4661810	227.41	244.67	246.19	0.1136	0.0587	0.1397
252156	349893	4661776	154.69	144.1	135	0.1137	0.1024	0.2787
252159	352888	4661754	6.34	26.71	40.78	0.8181	0.5443	0.5474
252161	354891	4661770	73.61	148.05	196.39	0.7606	0.6233	0.5796
