plot	X	Y	ErosIFN2	ErosIFN3	ErosIFN4
81572	383906	4625796	48.2327391	30.438373	57.18483192
81573	384957	4625744	86.79950852	43.79082467	102.2127636
81575	387913	4625779	37.50592798	40.0163092	66.56647287
81577	393903	4625790	28.07953739	25.86827524	59.15601602
81583	381967	4624769	87.37126884	108.5546952	143.0149502
81585	385906	4624796	5.879815293	3.43930733	12.45489377
81588	397906	4624796	47.41822822	172.525171	200.3075223
81590	399862	4624816	2.723298427	6.712144177	18.15806314
81591	373892	4623776	9.439194945	9.575491552	11.59488877
81593	379906	4623796	101.8435506	86.29284884	152.518181
81597	391941	4623803	149.1025126	165.5283533	210.0094299
81599	394009	4623749	47.70159667	75.34862523	87.73875476
81601	396906	4623796	32.92499719	42.92028541	57.8045216
81604	382931	4622816	11.20126668	16.58214179	20.19252011
81609	394927	4622784	27.35924444	33.09934762	33.07388165
81616	383984	4620796	31.55972846	32.86537892	34.83022764
81617	384924	4620778	55.14922137	77.94663275	80.19993996
81622	382926	4619785	55.45583457	61.93870129	91.88777256
81624	384955	4619815	69.07093169	83.91744316	77.4544471
81625	387925	4619797	56.73943706	79.28903131	102.5673012
81628	391903	4619797	26.63593776	62.64235362	77.29787947
81629	392938	4619812	10.06419256	10.44617102	15.26277202
81631	394918	4619788	82.90491046	84.36283703	92.325714
81637	383906	4618801	86.60903716	99.83713323	120.9758937
81638	384901	4618804	37.78965047	42.72903757	54.03182546
81640	387916	4618808	96.40660181	94.62391188	157.2330887
81644	394947	4618820	75.50742603	52.04063397	122.2923087
81645	395865	4618764	29.22052952	29.21191535	50.15759748
81649	381917	4617777	32.59356818	19.27413379	32.08423259
81652	384866	4617837	8.100267991	7.526319261	16.10869922
81655	387906	4617796	32.56743388	39.99731069	91.01920219
81659	392901	4617789	63.67355303	93.18555215	110.9113353
81660	393928	4617782	68.37545036	59.96975139	83.39687554
81664	397906	4617782	23.60494713	60.42892268	82.78975009
81669	387983	4616757	70.42618849	80.53250224	165.0988306
81670	389926	4616764	38.25307305	49.49284478	101.1054804
81672	391964	4616726	76.77282514	89.10566174	176.7645406
81674	394879	4616766	56.20554864	38.50832998	77.73967143
81675	395906	4616796	21.46578491	24.04369547	46.53626279
81676	396898	4616790	13.18296067	15.07335285	25.68655221
81677	397949	4616791	11.98638521	20.44660831	31.4437152
81679	377935	4615771	19.03818702	25.33296664	54.10446599
81685	387945	4615700	16.26608873	50.35052708	59.94689085
81686	390906	4615796	55.37293244	89.25886589	205.3974631
81692	375906	4614796	17.85900537	27.51392702	57.41295515
81697	382920	4614746	37.38338254	48.1807576	66.65309908
81698	383916	4614788	59.98726699	49.61474031	100.9339987
81699	385928	4614734	61.47151097	36.17031502	117.054358
81701	390875	4614760	117.3543328	107.9371363	193.0987279
81703	392902	4614797	56.02837262	39.74162204	76.80072379
81704	393926	4614801	55.41120252	56.72432393	68.68300862
81705	394933	4614761	29.97997259	27.25755414	41.51959231
81708	379953	4613756	13.40692227	5.541677587	15.63394095
81711	383906	4613796	15.84159527	12.27149765	58.32360521
81715	391895	4613807	117.9187818	87.14028147	178.7862833
81716	392920	4613798	23.38820277	26.09661381	35.59369791
81717	393912	4613766	9.899831559	13.42481384	18.7648583
81719	399910	4613835	24.88440737	26.71981739	41.41339114
81720	400919	4613756	91.46014087	95.38511026	102.3571427
81724	411947	4631872	67.55673499	79.33957168	98.97789834
81730	412906	4630796	46.14774193	41.26820287	58.8571171
81733	417906	4630746	49.21667502	33.65559323	53.40599223
81735	419898	4630836	38.43000747	37.72154993	46.3541455
81736	420944	4630783	34.68231595	60.43203395	69.56022586
81738	427906	4630726	217.4147581	171.089663	150.5566939
81739	428901	4630766	100.3313216	106.5837964	121.9794029
81740	402901	4629843	54.49513474	63.28092906	77.35507754
81741	404927	4629811	40.23745089	39.35213341	50.74049591
81742	405891	4629794	50.29856872	72.66949944	83.45265188
81748	419921	4629843	39.7456875	43.95082597	49.98625559
81756	416885	4628847	41.6520655	52.91687143	67.12176912
81757	418906	4628815	34.35908699	51.87490725	49.41394798
81760	421888	4628831	29.55808509	51.10813641	55.05148387
81763	428882	4628785	81.69920561	65.89401752	79.58810891
81765	404962	4627796	45.97378092	64.01610272	88.54159363
81766	405864	4627825	23.24215765	29.99180216	40.30384175
81772	427926	4627846	10.99546696	12.69755213	11.21695223
81773	428914	4627833	58.00962883	41.73832273	46.81917323
81775	406919	4626797	21.9402317	34.90906476	41.17420377
81777	416917	4626800	24.74316789	32.99464894	49.83111509
81781	420915	4626795	12.89946591	29.89288858	31.25053297
81782	421921	4626809	58.00800835	74.28214104	86.34358942
81784	423892	4626834	67.3729601	82.74962439	89.51367838
81785	424908	4626794	36.78060696	44.60525163	37.69175502
81786	426948	4626783	5.527169718	6.167114019	6.207908962
81789	410985	4625770	44.1191179	39.55472512	66.98338487
81792	415913	4625846	119.645648	93.50551007	123.1821216
81793	416930	4625828	43.41187899	59.84586335	47.81339905
81797	420864	4625834	38.12511649	48.22500253	58.21116902
81798	421899	4625835	39.35131719	65.43766714	79.77822788
81803	411922	4624799	14.99138498	14.14152319	14.71153428
81808	416917	4624793	4.896186954	7.073312123	8.360284764
81810	418898	4624849	32.00423551	38.60078224	41.957742
81811	419875	4624846	66.42416204	65.75292768	56.75156031
81812	420891	4624782	45.48799188	44.30810658	49.71680182
81813	421875	4624810	115.2512102	124.1007487	160.8170372
81814	422894	4624776	85.69991901	126.3093173	152.8424217
81818	410936	4623775	92.78001296	111.1922718	143.8940014
81821	413931	4623802	18.99429977	22.86786199	19.90864119
81824	416913	4623810	93.80455353	98.71716058	118.4280395
81826	419902	4623809	35.82697726	40.79803289	50.75541641
81827	420876	4623798	58.59872106	76.08657128	87.57617256
81830	423947	4623842	51.10805564	44.98981462	50.42418633
81838	415923	4622885	68.08243327	107.1569606	110.7908588
81840	418888	4622840	68.41356377	94.11577678	76.39920317
81842	420915	4622806	41.97281089	52.50622096	62.95995815
81843	421886	4622838	58.36566008	81.64754729	92.71475353
81845	423884	4622627	53.57405519	51.88578027	56.73379778
81849	411923	4621840	85.22736913	100.3477101	98.67703577
81850	412894	4621817	43.44694603	78.61799077	64.03193033
81851	413900	4621804	51.89767361	37.21815504	54.45306794
81855	417929	4621832	65.84400161	75.23141401	38.50584292
81856	418923	4621775	52.10432207	46.56411556	55.07722433
81857	419929	4621780	41.77875421	49.91005191	37.1902484
81860	422914	4621838	102.483303	137.4761538	154.172919
81862	424899	4621802	51.37841672	52.64026621	54.58179644
81865	427896	4621826	90.07105831	82.49205151	97.92629411
81867	408901	4620821	51.09154712	45.82217021	50.72225319
