ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
371	430283	370928	4577798	26.719	30.22558361	32.287	2.915	2.887	0.437	0.103	1.227	0.957
486	430284	372940	4584871	34.29	31.74112054	20.755	1.65	1.662	0.68	0.183	0.567	0.787
467	430285	372853	4583797	3.186	3.826753636	6.685	1.374	0.375	0.565	0.676	0.638	-0.17
460	430286	373953	4582849	NA	NA	NA	0	0	0.554	0.518	0.054	-0.163
419	430297	377949	4580745	27.043	30.13050513	28.805	0.818	0.938	0.506	0.286	0.069	0.349
414	430298	373036	4579842	11.799	17.01998574	35.165	0.332	1.408	0.611	0.18	0.161	0.896
411	430300	374924	4579804	35.513	30.50973639	15.045	2.541	4.474	0.457	0.113	1.21	1.531
376	430307	287855	4577821	4.878	7.215875848	8.992	0.155	0.24	0.475	0.466	0.071	0.108
339	430312	286820	4575786	14.529	15.1881909	21.451	0.619	1.568	0.37	0.291	0.23	0.694
282	430333	286929	4570794	21.745	26.50049311	23.44	0.421	0.592	0.266	0.408	0.215	0.296
249	430345	287877	4567799	3.901	10.65296036	12.591	0.15	0.137	0.713	0.543	0.009	0.065
242	430353	282974	4566859	30.635	31.37543341	13.383	0.464	0.202	0.404	0.474	-0.056	-1.047
236	430356	285854	4566775	NA	NA	NA	0	0	0.222	0.661	0.555	-0.95
229	430364	280889	4565786	NA	NA	NA	0	0	0.396	0.504	-0.079	0
232	430366	282856	4565812	21.234	26.04325979	23.05	1.5	0.461	0.026	0.403	-0.137	-0.951
235	430369	286891	4565840	NA	NA	NA	0	0	0.309	0.565	-0.4	-0.388
227	430371	274859	4564814	NA	NA	NA	0	0	0.371	0.678	-0.447	0
226	430372	275858	4564811	NA	NA	NA	0	0	0.23	0.335	-0.449	0
224	430380	283894	4564743	21.45	24.14913926	14.075	1.201	1.12	0.14	0.174	0.451	0.592
213	430395	279993	4562685	0.988	1.453191657	0.616	0.086	0.034	0.506	0.671	0.038	-0.028
215	430400	286869	4562791	11.27	3.717054597	4.116	0.291	0.209	0.244	0.254	-0.591	0.085
206	430401	274885	4561779	3.35	6.376806011	6.109	0.154	0.207	0.408	0.474	-0.075	0.093
208	430406	283873	4561784	NA	NA	NA	0	0	0.171	0.474	-1.396	0
207	430408	285869	4561782	NA	NA	NA	0	0	0.508	0.486	-0.056	0
202	430411	280915	4560748	NA	NA	NA	0	0	0.232	0.468	-0.585	0
203	430414	283906	4560768	NA	NA	NA	0	0	0.101	0.694	-1.849	0
378	430419	313980	4577837	17.03	8.693488065	15.994	0.613	0.498	0.356	0.167	-0.113	0.175
360	430421	315881	4576903	2.465	1.146487682	0.691	0.214	0.009	0.405	0.511	0.052	-0.109
344	430426	313901	4575813	NA	NA	NA	0	0	0.066	0.143	-0.833	0
342	430428	315949	4575807	NA	NA	NA	0	0	0.359	0.323	-0.399	0
334	430430	303893	4574835	32.627	28.48945083	20.751	0.861	0.628	0.155	0.075	0.103	0.181
333	430431	304960	4574812	15.141	19.61417928	20.304	0.387	0.403	0.074	0.296	0.209	0.208
332	430432	306901	4574802	11.244	6.752413872	5.681	0.461	0.255	0.313	0.141	0.29	0.136
313	430436	290881	4573784	0.184	0.654029503	3.158	0.04	0.161	0.595	0.53	0.024	0.099
318	430440	295954	4573826	1.858	6.30075546	8.231	0.124	0.359	0.518	0.227	0.068	0.181
311	430444	313875	4573771	1.612	2.074044035	3.853	0.224	0.325	0.312	0.424	0.087	0.126
300	430448	290961	4572767	26.056	20.84196043	17.036	0.427	0.181	0.131	0.214	0.253	-0.125
298	430450	294947	4572755	6.956	7.041456134	10.759	0.141	0.184	0.169	0.622	0.062	0.086
296	430458	289966	4571906	3.202	4.103608922	6.18	0.084	0.077	0.493	0.504	0.042	0.057
293	430462	314887	4571843	NA	NA	NA	0.736	1.465	0.369	0.186	0.738	0.994
286	430463	293932	4570816	18.923	18.609471	22.757	0.605	0.654	0.286	0.136	0.248	0.326
287	430465	299925	4570816	NA	NA	NA	0	0	0.536	0.571	-0.08	-0.049
281	430466	300935	4570787	25.705	27.45175177	19.013	0.817	0.448	0.121	0.085	0.357	0.23
276	430468	311783	4570701	29.947	16.08608686	16.699	3.288	2.159	0.305	0.119	1.083	0.804
273	430472	298888	4569839	2.461	3.224997851	2.177	0.121	0.022	0.502	0.341	0.056	0.011
266	430477	308934	4569782	10.452	24.5972816	22.772	2.826	5.192	0.444	0.203	1.228	1.853
261	430484	292920	4568825	23.943	27.85907402	28.65	2.089	2.137	0.302	0.229	0.725	0.888
255	430490	310918	4568755	NA	NA	NA	0.928	3.563	0.523	0.238	0.647	1.434
247	430495	301946	4567789	3.056	2.750525882	1.794	0.077	0.062	0.043	0.076	-0.067	-0.063
248	430501	312998	4567795	NA	NA	NA	0	0	0.426	0.483	0.238	-0.444
241	430505	306955	4566853	21.884	17.92260381	14.395	0.239	0.338	0.197	0.168	-0.007	0.164
239	430510	315910	4566824	NA	NA	NA	0.939	1.685	0.329	0.118	1.162	1.132
234	430512	303835	4565827	0.549	1.538495575	11.523	0.038	0.26	0.206	0.423	-0.053	0.163
223	430517	288890	4564663	10.141	18.91925317	21.863	0.929	1.307	0.274	0.536	0.363	0.47
225	430521	307934	4564786	30.337	22.0027782	19.479	1.607	2.103	0.141	0.201	0.977	0.995
219	430530	309890	4563784	17.871	16.26776485	14.407	1.703	2.804	0.108	0.138	-0.028	0.961
220	430532	315945	4563802	6.483	14.22926972	25.577	0.534	1.988	0.654	0.438	0.205	0.729
217	430535	306889	4562822	NA	NA	NA	0	0	0.186	0.263	-0.522	0
218	430536	307855	4562874	29.674	NA	13.916	0.142	0.343	0.2	0.49	-1.528	0.183
209	430543	315881	4561803	NA	NA	NA	1.234	2.146	0.116	0.078	2.247	3.165
205	430545	290925	4560806	11.881	19.4750813	24.182	1.071	1.027	0.103	0.316	0.478	0.433
198	430554	312886	4559797	34.428	26.55351382	23.595	5.001	3.496	0.225	0.231	1.334	0.977
196	430555	313936	4559795	NA	NA	NA	0.915	2.139	0.267	0.361	0.643	-0.189
364	430560	323911	4577758	NA	NA	NA	0.841	0.79	0.581	0.364	0.947	0.906
362	430562	325971	4577657	NA	NA	NA	1.059	0.645	0.28	0.184	1.762	1.289
361	430563	329861	4577612	NA	NA	NA	3.277	1.585	0.515	0.166	2.915	0.964
357	430566	326927	4576803	NA	NA	NA	1.11	-0.084	0.363	0.466	1.345	0.005
353	430569	329875	4576786	23.276	17.80546716	35.498	3.561	3.478	0.488	0.225	1.89	1.826
354	430570	330870	4576791	NA	NA	NA	5.815	2.236	0.379	0.168	3.021	-0.187
355	430575	335894	4576794	NA	NA	NA	0.412	0.311	0.277	0.467	0.554	0.32
356	430576	336935	4576802	NA	NA	NA	2.188	1.697	0.323	0.266	3.366	0.746
359	430580	340862	4576881	36.296	14.75880881	12.085	3.185	2.928	0.279	0.163	1.565	1.029
341	430584	319814	4575802	36.442	22.2593908	33.108	2.407	0.839	0.237	0.269	0.885	0.096
350	430586	326867	4575856	NA	NA	NA	2.472	0.266	0.078	0.314	4.185	-2.928
346	430587	327928	4575826	NA	NA	NA	0.901	0.947	0.554	0.326	1.641	1.616
338	430590	331867	4575776	NA	NA	NA	4.329	1.32	0.082	0.072	4.265	1.751
347	430597	338964	4575828	24.165	14.45909755	13.788	3.384	2.001	0.117	0.184	2.312	1.497
340	430598	339961	4575791	NA	NA	NA	1.21	0.628	0.366	0.285	1.622	0.828
336	430600	342955	4575715	27.803	10.23776329	7.241	5.235	2.276	0.282	0.142	2.191	0.817
324	430608	329873	4574765	34.373	13.56109773	33.901	2.889	1.696	0.356	0.408	1.174	0.842
325	430610	334873	4574766	NA	NA	NA	3.85	5.33	0.159	0.164	1.632	1.355
335	430611	335930	4574837	NA	NA	NA	0.937	2.077	0.625	0.103	1.016	2.099
330	430614	338894	4574792	NA	NA	NA	1.916	1.728	0.159	0.175	2.776	2.139
310	430622	321867	4573763	5.698	3.466585267	12.919	0.537	0.475	0.72	0.5	0.105	0.212
320	430623	323876	4573845	NA	NA	NA	0.974	0.574	0.27	0.156	0.805	0.223
323	430625	327901	4573866	NA	NA	NA	1.02	0.538	0.337	0.411	1.327	0.539
321	430626	328932	4573845	NA	NA	NA	1.963	1.604	0.538	0.191	0.69	1.064
